path,url,depth,direct_files,direct_bytes,direct_bytes_human,recursive_files,recursive_bytes,recursive_bytes_human,recursive_dirs,subdir_count,external_refs
,https://myrient.erista.me/files/,0,0,0,0 B,2908844,386469953416320,351.49 TiB,66380,21,0
Eggman's Arcade Repository,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/,1,0,0,0 B,3635,3066399107191,2.79 TiB,988,32,0
FinalBurn Neo,https://myrient.erista.me/files/FinalBurn%20Neo/,1,0,0,0 B,24333,30073971110,28.01 GiB,19,18,0
HBMAME,https://myrient.erista.me/files/HBMAME/,1,0,0,0 B,10500,38357862790,35.72 GiB,14,5,0
Hardware Target Game Database,https://myrient.erista.me/files/Hardware%20Target%20Game%20Database/,1,0,0,0 B,7227,490822207707,457.11 GiB,733,50,0
Internet Archive,https://myrient.erista.me/files/Internet%20Archive/,1,0,0,0 B,234616,44511371905891,40.48 TiB,6469,29,0
Laserdisc Collection,https://myrient.erista.me/files/Laserdisc%20Collection/,1,0,0,0 B,39600,4807823157944,4.37 TiB,1396,18,0
Lost Level,https://myrient.erista.me/files/Lost%20Level/,1,0,0,0 B,3884,311390053439,290.00 GiB,88,2,0
MAME,https://myrient.erista.me/files/MAME/,1,0,0,0 B,750984,6555943847300,5.96 TiB,12750,13,0
Miscellaneous,https://myrient.erista.me/files/Miscellaneous/,1,0,0,0 B,61907,7171146462257,6.52 TiB,17445,14,0
No-Intro,https://myrient.erista.me/files/No-Intro/,1,0,0,0 B,306890,91769116340239,83.46 TiB,492,458,0
Redump,https://myrient.erista.me/files/Redump/,1,0,0,0 B,131734,206763162393373,188.05 TiB,114,85,0
RetroAchievements,https://myrient.erista.me/files/RetroAchievements/,1,0,0,0 B,15805,3120336236985,2.84 TiB,200,52,0
T-En Collection,https://myrient.erista.me/files/T-En%20Collection/,1,0,0,0 B,4465,832446147181,775.28 GiB,74,61,0
TOSEC,https://myrient.erista.me/files/TOSEC/,1,0,0,0 B,1009504,326081509387,303.69 GiB,4423,212,0
TOSEC-ISO,https://myrient.erista.me/files/TOSEC-ISO/,1,0,0,0 B,12064,6647320460325,6.05 TiB,492,28,0
TOSEC-PIX,https://myrient.erista.me/files/TOSEC-PIX/,1,0,0,0 B,39056,2477640936497,2.25 TiB,1699,54,0
TeknoParrot,https://myrient.erista.me/files/TeknoParrot/,1,519,1760555216847,1.60 TiB,519,1760555216847,1.60 TiB,1,0,0
Total DOS Collection,https://myrient.erista.me/files/Total%20DOS%20Collection/,1,3,196478,191.87 KiB,42306,1116805583650,1.02 TiB,178,3,0
Touhou Project Collection,https://myrient.erista.me/files/Touhou%20Project%20Collection/,1,0,0,0 B,850,456578671406,425.22 GiB,42,7,0
bitsavers,https://myrient.erista.me/files/bitsavers/,1,13,1372008,1.31 MiB,186964,1807835033486,1.64 TiB,18667,29,0
eXo,https://myrient.erista.me/files/eXo/,1,0,0,0 B,22001,2408746311315,2.19 TiB,95,9,0
Eggman's Arcade Repository/!README,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/%21README/,2,2,3583,3.50 KiB,2,3583,3.50 KiB,1,0,0
Eggman's Arcade Repository/!Support Files,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/%21Support%20Files/,2,0,0,0 B,1439,14401252851,13.41 GiB,355,13,0
Eggman's Arcade Repository/Adrenaline Amusements,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Adrenaline%20Amusements/,2,10,230209226,219.54 MiB,15,284988718,271.79 MiB,2,1,0
Eggman's Arcade Repository/AmuseWorld,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/AmuseWorld/,2,0,0,0 B,33,200331623124,186.57 GiB,9,4,0
Eggman's Arcade Repository/Andamiro,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Andamiro/,2,4,1686319921,1.57 GiB,15,1709180389,1.59 GiB,9,1,0
Eggman's Arcade Repository/Apple,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Apple/,2,5,4184971673,3.90 GiB,5,4184971673,3.90 GiB,1,0,0
Eggman's Arcade Repository/Bandai Namco,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Bandai%20Namco/,2,1,444,444 B,1,444,444 B,1,0,0
Eggman's Arcade Repository/Capcom,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Capcom/,2,2,1739168153,1.62 GiB,5,23536137316,21.92 GiB,2,1,0
Eggman's Arcade Repository/Cave,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Cave/,2,2,657771724,627.30 MiB,2,657771724,627.30 MiB,1,0,0
Eggman's Arcade Repository/EXAMU,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/EXAMU/,2,7,4351909167,4.05 GiB,7,4351909167,4.05 GiB,1,0,0
Eggman's Arcade Repository/Gaelco,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Gaelco/,2,1,219466956,209.30 MiB,1,219466956,209.30 MiB,1,0,0
Eggman's Arcade Repository/GameWax,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/GameWax/,2,1,332713164,317.30 MiB,1,332713164,317.30 MiB,1,0,0
Eggman's Arcade Repository/Global VR,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/Global%20VR/,2,0,0,0 B,96,74271054194,69.17 GiB,26,25,0
Eggman's Arcade Repository/ICE,https://myrient.erista.me/files/Eggman%27s%20Arcade%20Repository/ICE/,2,0,0,0 B,179,272736638676,254.01 GiB,48,47,0
